AREA,PERIMETER,__GRID_COD,__CLC_CODE,__LABEL1,__LABEL2,__LABEL3,AreaTOT,PerimetroT,id_grid,Area_m2,Perim_m,AreaSulQua,PerimSulQu,AreaSulPol,PerimSulPo
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,12,101.041,86.624,0,5,0.000,0.001
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,13,106.076,47.901,0,3,0.000,0.001
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,14,9235.365,562.348,6,35,0.000,0.008
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,15,8050.615,532.001,5,33,0.000,0.007
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,16,29602.197,960.296,19,60,0.001,0.013
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,17,33433.278,987.846,21,62,0.001,0.013
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,18,38797.548,1027.944,24,64,0.001,0.014
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,19,45786.496,1029.134,29,64,0.001,0.014
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,20,60513.061,1058.030,38,66,0.002,0.014
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,21,49770.016,1109.804,31,69,0.001,0.015
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,22,53173.372,1068.792,33,67,0.002,0.015
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,23,36119.571,883.861,23,55,0.001,0.012
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,24,17707.922,670.436,11,42,0.001,0.009
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,25,30587.102,882.373,19,55,0.001,0.012
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,38,42057.799,996.364,26,62,0.001,0.014
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,39,12515.347,501.061,8,31,0.000,0.007
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,40,22.719,77.494,0,5,0.000,0.001
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,41,4702.408,853.616,3,53,0.000,0.012
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,42,11150.841,673.989,7,42,0.000,0.009
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,43,14754.900,546.442,9,34,0.000,0.007
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,44,38029.963,1119.467,24,70,0.001,0.015
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,45,38770.808,1019.403,24,64,0.001,0.014
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,46,46653.896,1024.664,29,64,0.001,0.014
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,47,32961.876,1000.276,21,63,0.001,0.014
